application,version,instrumentor,trial,compiletime,memoryuse,success,failurereason
tcas,1,cc-local,1,0.440892934799,38860,True,
tcas,1,cc-none,1,0.443335056305,38536,True, 
tcas,1,bb-none,1,0.458551168442,38884,True,
tcas,1,cc-simple,1,0.434761047363,38868,True, 
tcas,1,clang,1,0.249415159225,41948,True,
tcas,1,cc-gams,1,0.476997852325,38884,True, 
tcas,1,bb-simple,1,0.448523044586,38636,True,
tcas,1,cc-lemon,1,0.437275886536,38720,True, 
tcas,1,bb-gams,1,10.5639870167,518700,True,
tcas,1,bb-lemon,1,0.463505983353,38592,True, 
tcas,1,bb-local,1,0.440513134003,38760,True,
tcas,1,cc-local,2,0.443153858185,38560,True, 
tcas,1,cc-none,2,0.448632001877,38872,True,
tcas,1,bb-none,2,0.448008060455,38888,True, 
tcas,1,cc-simple,2,0.438230991364,38860,True,
tcas,1,clang,2,0.242881059647,42064,True, 
tcas,1,cc-gams,2,0.472190856934,38816,True,
tcas,1,bb-simple,2,0.448429822922,38720,True, 
tcas,1,cc-lemon,2,0.43457198143,38716,True,
tcas,1,bb-gams,2,10.087818861,518652,True, 
tcas,1,bb-lemon,2,0.462532043457,38720,True,
tcas,1,bb-local,2,0.458162069321,38884,True, 
tcas,1,cc-local,3,0.435065031052,38732,True,
tcas,1,cc-none,3,0.439280033112,38988,True, 
tcas,1,bb-none,3,0.448617935181,38640,True,
tcas,1,cc-simple,3,0.434096097946,38904,True, 
tcas,1,clang,3,0.243792057037,42140,True,
tcas,1,cc-gams,3,0.463616847992,38864,True,
tcas,1,bb-simple,3,0.446204185486,38816,True,
tcas,1,cc-lemon,3,0.437045097351,38740,True, 
tcas,1,bb-gams,3,10.1807470322,518648,True,
tcas,1,bb-lemon,3,0.446581125259,38540,True, 
tcas,1,bb-local,3,0.440488100052,38532,True,
schedule,1,cc-local,1,0.848531007767,39484,True, 
schedule,1,cc-none,1,0.711472988129,39284,True,
schedule,1,bb-none,1,0.750901937485,39500,True, 
schedule,1,cc-simple,1,0.710280179977,39668,True,
schedule,1,clang,1,0.396961927414,43024,True, 
schedule,1,cc-gams,1,287.043123007,12551432,True,
schedule,1,bb-simple,1,0.735512971878,39620,True, 
schedule,1,cc-lemon,1,0.761677026749,39452,True,
schedule,1,bb-gams,1,246.293244123,25153124,False,MEMOUT
schedule,1,bb-lemon,1,0.922373056412,39412,True,
schedule,1,bb-local,1,1.95347285271,39620,True, 
schedule,1,cc-local,2,0.855340957642,39508,True,
schedule,1,cc-none,2,0.700520038605,39496,True, 
schedule,1,bb-none,2,0.738452911377,39716,True,
schedule,1,cc-simple,2,0.709705114365,39468,True, 
schedule,1,clang,2,0.390913963318,42928,True,
schedule,1,cc-gams,2,288.901256084,12551436,True, 
schedule,1,bb-simple,2,0.732865095139,39684,True,
schedule,1,cc-lemon,2,0.772907972336,39424,True, 
schedule,1,bb-gams,2,252.968786001,25153080,False,MEMOUT
schedule,1,bb-lemon,2,0.9289290905,39556,True, 
schedule,1,bb-local,2,1.95916604996,39576,True,
schedule,1,cc-local,3,0.868549108505,39412,True, 
schedule,1,cc-none,3,0.699041843414,39548,True,
schedule,1,bb-none,3,0.745337963104,39476,True, 
schedule,1,cc-simple,3,0.701164007187,39288,True,
schedule,1,clang,3,0.394629001617,43276,True, 
schedule,1,cc-gams,3,283.55489397,12551448,True,
schedule,1,bb-simple,3,0.724953174591,39480,True, 
schedule,1,cc-lemon,3,0.760640859604,39420,True,
schedule,1,bb-gams,3,248.675778866,25153196,False,MEMOUT 
schedule,1,bb-lemon,3,0.926613807678,39608,True,
schedule,1,bb-local,3,1.94622206688,39416,True, 
print_tokens,1,cc-local,1,1.15686702728,40524,True,
print_tokens,1,cc-none,1,0.892088890076,40476,True, 
print_tokens,1,bb-none,1,0.987280130386,42428,True,
print_tokens,1,cc-simple,1,0.895084142685,40480,True, 
print_tokens,1,clang,1,0.508878946304,44452,True, 
print_tokens,1,cc-gams,1,254.381548882,26179708,False,MEMOUT 
print_tokens,1,bb-simple,1,0.935982942581,40336,True,
print_tokens,1,cc-lemon,1,0.95946598053,40552,True, 
print_tokens,1,bb-gams,1,815.872908831,26125592,False,MEMOUT 
print_tokens,1,bb-lemon,1,6.25506091118,40384,True,
print_tokens,1,bb-local,1,77.6304969788,40388,True, 
print_tokens,1,cc-local,2,1.14895796776,40576,True,
print_tokens,1,cc-none,2,0.896032810211,40472,True, 
print_tokens,1,bb-none,2,0.977566003799,42560,True,
print_tokens,1,cc-simple,2,0.903501987457,40508,True, 
print_tokens,1,clang,2,0.519172906876,44640,True, 
print_tokens,1,cc-gams,2,254.011741877,26179708,False,MEMOUT 
print_tokens,1,bb-simple,2,0.924875974655,40344,True,
print_tokens,1,cc-lemon,2,0.952001094818,40604,True, 
print_tokens,1,bb-gams,2,810.110747814,26125424,False,MEMOUT 
print_tokens,1,bb-lemon,2,6.25548291206,40632,True,
print_tokens,1,bb-local,2,76.683506012,40404,True, 
print_tokens,1,cc-local,3,1.16281485558,40604,True,
print_tokens,1,cc-none,3,0.894147157669,40364,True, 
print_tokens,1,bb-none,3,0.98982000351,42456,True,
print_tokens,1,cc-simple,3,0.896766901016,40592,True, 
print_tokens,1,clang,3,0.509588956833,44684,True, 
print_tokens,1,cc-gams,3,253.140022993,26179684,False,MEMOUT 
print_tokens,1,bb-simple,3,0.923228979111,40564,True,
print_tokens,1,cc-lemon,3,0.940288066864,40372,True, 
print_tokens,1,bb-gams,3,814.609772205,26125424,False,MEMOUT 
print_tokens,1,bb-lemon,3,6.25770783424,40368,True,
print_tokens,1,bb-local,3,76.3110971451,40612,True, 
replace,1,cc-local,1,0.836948871613,40032,True,
replace,1,cc-none,1,0.835340976715,40056,True, 
replace,1,bb-none,1,0.946342945099,39848,True,
replace,1,cc-simple,1,0.821405887604,39848,True, 
replace,1,clang,1,0.484270811081,43644,True,
replace,1,cc-gams,1,12.5028290749,292172,True, 
replace,1,bb-simple,1,0.91437292099,39896,True,
replace,1,cc-lemon,1,0.84218788147,40004,True, 
replace,1,bb-gams,1,512.260378122,26180188,False,MEMOUT
replace,1,bb-lemon,1,3.57237505913,40036,True, 
replace,1,bb-local,1,15.917634964,39948,True,
replace,1,cc-local,2,0.81769490242,40000,True, 
replace,1,cc-none,2,0.820785999298,39984,True,
replace,1,bb-none,2,0.941253185272,40128,True, 
replace,1,cc-simple,2,0.808967828751,40080,True,
replace,1,clang,2,0.472656011581,43576,True, 
replace,1,cc-gams,2,12.4827270508,292264,True,
replace,1,bb-simple,2,0.90567612648,39900,True, 
replace,1,cc-lemon,2,0.849176883698,40192,True,
replace,1,bb-gams,2,514.468166113,26180172,False,MEMOUT 
replace,1,bb-lemon,2,3.53111696243,39872,True,
replace,1,bb-local,2,15.881909132,39900,True, 
replace,1,cc-local,3,0.816904783249,40096,True,
replace,1,cc-none,3,0.825840950012,40116,True, 
replace,1,bb-none,3,0.941364049911,39892,True,
replace,1,cc-simple,3,0.821691036224,39968,True, 
replace,1,clang,3,0.471446990967,43604,True,
replace,1,cc-gams,3,12.4650671482,292252,True, 
replace,1,bb-simple,3,0.897397041321,39864,True,
replace,1,cc-lemon,3,0.832774877548,39748,True, 
replace,1,bb-gams,3,511.679985046,26180168,False,MEMOUT
replace,1,bb-lemon,3,3.55479502678,40036,True, 
replace,1,bb-local,3,15.8923978806,40076,True,
print_tokens2,1,cc-local,1,0.65508890152,41232,True, 
print_tokens2,1,cc-none,1,0.642580986023,41084,True,
print_tokens2,1,bb-none,1,0.677352905273,40780,True, 
print_tokens2,1,cc-simple,1,0.652931928635,41100,True,
print_tokens2,1,clang,1,0.408401966095,44296,True, 
print_tokens2,1,cc-gams,1,207.230148077,10151036,True, 
print_tokens2,1,bb-simple,1,0.667469978333,40964,True,
print_tokens2,1,cc-lemon,1,0.686602830887,41108,True, 
print_tokens2,1,bb-gams,1,226.647922993,25103972,False,MEMOUT 
print_tokens2,1,bb-lemon,1,0.941954135895,41108,True,
print_tokens2,1,bb-local,1,3.69307899475,41092,True, 
print_tokens2,1,cc-local,2,0.654422044754,41152,True,
print_tokens2,1,cc-none,2,0.646764039993,40964,True, 
print_tokens2,1,bb-none,2,0.68008685112,40920,True,
print_tokens2,1,cc-simple,2,0.651711940765,41208,True, 
print_tokens2,1,clang,2,0.416917800903,44444,True,
print_tokens2,1,cc-gams,2,207.891303062,10150992,True, 
print_tokens2,1,bb-simple,2,0.673815965652,41096,True,
print_tokens2,1,cc-lemon,2,0.673367977142,41188,True, 
print_tokens2,1,bb-gams,2,222.619976997,25103904,False,MEMOUT 
print_tokens2,1,bb-lemon,2,0.9625248909,41204,True,
print_tokens2,1,bb-local,2,3.72126984596,40964,True, 
print_tokens2,1,cc-local,3,0.653502941132,41104,True,
print_tokens2,1,cc-none,3,0.641227006912,41108,True, 
print_tokens2,1,bb-none,3,0.673897981644,41204,True,
print_tokens2,1,cc-simple,3,0.642358064651,40788,True, 
print_tokens2,1,clang,3,0.412106990814,44452,True,
print_tokens2,1,cc-gams,3,208.939616919,10151060,True, 
print_tokens2,1,bb-simple,3,0.66406917572,40788,True,
print_tokens2,1,cc-lemon,3,0.679718971252,41060,True, 
print_tokens2,1,bb-gams,3,221.229485989,25103904,False,MEMOUT 
print_tokens2,1,bb-lemon,3,0.952714920044,41104,True,
print_tokens2,1,bb-local,3,3.66737699509,40968,True, 
schedule2,1,cc-local,1,0.702718019485,39488,True,
schedule2,1,cc-none,1,0.664246797562,39600,True, 
schedule2,1,bb-none,1,0.722407102585,39212,True,
schedule2,1,cc-simple,1,0.648504018784,39372,True, 
schedule2,1,clang,1,0.36699795723,42884,True,
schedule2,1,cc-gams,1,44.2678489685,1846668,True, 
schedule2,1,bb-simple,1,0.773059844971,39560,True,
schedule2,1,cc-lemon,1,0.723386049271,39372,True, 
schedule2,1,bb-gams,1,474.400058031,11573812,True,
schedule2,1,bb-lemon,1,0.785942792892,39600,True, 
schedule2,1,bb-local,1,0.97568488121,39616,True,
schedule2,1,cc-local,2,0.710530042648,39596,True, 
schedule2,1,cc-none,2,0.676072120667,39208,True,
schedule2,1,bb-none,2,0.715412855148,39600,True, 
schedule2,1,cc-simple,2,0.65056681633,39596,True,
schedule2,1,clang,2,0.365761041641,42740,True, 
schedule2,1,cc-gams,2,44.0798771381,1846908,True,
schedule2,1,bb-simple,2,0.700516939163,39524,True, 
schedule2,1,cc-lemon,2,0.717880964279,39652,True,
schedule2,1,bb-gams,2,470.961604118,11574108,True, 
schedule2,1,bb-lemon,2,0.785452842712,39532,True,
schedule2,1,bb-local,2,0.965898036957,39648,True, 
schedule2,1,cc-local,3,0.719507932663,39580,True,
schedule2,1,cc-none,3,0.67786192894,39372,True, 
schedule2,1,bb-none,3,0.720889091492,39396,True,
schedule2,1,cc-simple,3,0.665165185928,39208,True, 
schedule2,1,clang,3,0.372890949249,42656,True,
schedule2,1,cc-gams,3,44.1783058643,1847016,True, 
schedule2,1,bb-simple,3,0.676976919174,39536,True,
schedule2,1,cc-lemon,3,0.731617927551,39344,True, 
schedule2,1,bb-gams,3,473.633603096,11574232,True,
schedule2,1,bb-lemon,3,0.776922941208,39376,True, 
schedule2,1,bb-local,3,0.966529130936,39372,True,
tot_info,1,cc-local,1,1.11179900169,40896,True, 
tot_info,1,cc-none,1,0.640537977219,40908,True,
tot_info,1,bb-none,1,0.652734994888,40732,True, 
tot_info,1,cc-simple,1,0.637276172638,40728,True,
tot_info,1,clang,1,0.370079040527,44280,True, 
tot_info,1,cc-gams,1,127.065237045,4115144,True,
tot_info,1,bb-simple,1,0.643440008163,40888,True, 
tot_info,1,cc-lemon,1,0.664855003357,40884,True,
tot_info,1,bb-gams,1,799.07678318,26180192,False,MEMOUT 
tot_info,1,bb-lemon,1,1.00188302994,40904,True,
tot_info,1,bb-local,1,2.91752195358,40916,True, 
tot_info,1,cc-local,2,0.675724983215,40676,True,
tot_info,1,cc-none,2,0.628679990768,40524,True, 
tot_info,1,bb-none,2,0.651026964188,40912,True,
tot_info,1,cc-simple,2,0.641611814499,40528,True, 
tot_info,1,clang,2,0.372297048569,44164,True,
tot_info,1,cc-gams,2,126.549501896,4115204,True, 
tot_info,1,bb-simple,2,0.644155979156,40692,True,
tot_info,1,cc-lemon,2,0.675398111343,40860,True, 
tot_info,1,bb-gams,2,806.917886972,26180188,False,MEMOUT
tot_info,1,bb-lemon,2,0.987007856369,40956,True, 
tot_info,1,bb-local,2,2.90665793419,40696,True,
tot_info,1,cc-local,3,0.665239810944,40804,True, 
tot_info,1,cc-none,3,0.640357017517,40792,True,
tot_info,1,bb-none,3,0.643662929535,40936,True, 
tot_info,1,cc-simple,3,0.62992310524,40916,True,
tot_info,1,clang,3,0.367351055145,44024,True, 
tot_info,1,cc-gams,3,126.003308058,4115132,True,
tot_info,1,bb-simple,3,0.644217967987,40656,True, 
tot_info,1,cc-lemon,3,0.672604084015,40684,True,
tot_info,1,bb-gams,3,795.699336052,26180192,False,MEMOUT 
tot_info,1,bb-lemon,3,0.997931957245,40732,True,
tot_info,1,bb-local,3,2.91514801979,40948,True, 
bash,1,cc-local,1,10860.0600069,39292,False,TIMEOUT
bash,1,cc-none,1,121.145530939,54656,True, 
bash,1,bb-none,1,125.615109921,86836,True,
bash,1,cc-simple,1,120.068196058,53840,True, 
bash,1,clang,1,69.9184968472,59848,True,
bash,1,cc-gams,1,658.292379141,26127856,False,MEMOUT 
bash,1,bb-simple,1,123.236124992,69584,True,
bash,1,cc-lemon,1,1188.57967091,65472,True, 
bash,1,bb-gams,1,707.597723007,26127948,False,MEMOUT
bash,1,bb-lemon,1,10860.0730209,39536,False,TIMEOUT 
bash,1,bb-local,1,10860.063096,39460,False,TIMEOUT
bash,2,cc-local,1,10860.0763812,39428,False,TIMEOUT 
bash,2,cc-none,1,121.495707989,54696,True,
bash,2,bb-none,1,126.248152018,87520,True, 
bash,2,cc-simple,1,120.472831011,53744,True,
bash,2,clang,1,70.1383099556,60236,True, 
bash,2,cc-gams,1,664.254795074,26128004,False,MEMOUT
bash,2,bb-simple,1,123.89638114,69904,True, 
bash,2,cc-lemon,1,1218.38705707,65672,True,
bash,2,bb-gams,1,706.991238832,26128052,False,MEMOUT 
bash,2,bb-lemon,1,10860.078723,39304,False,TIMEOUT
bash,2,bb-local,1,10860.0752511,39292,False,TIMEOUT 
bash,3,cc-local,1,1053.07102299,51392,True,
bash,3,cc-none,1,129.655528069,52336,True, 
bash,3,bb-none,1,134.131826878,57352,True,
bash,3,cc-simple,1,128.9555161,51816,True, 
bash,3,clang,1,74.3015530109,58600,True,
bash,3,cc-gams,1,674.089793921,26128076,False,MEMOUT 
bash,3,bb-simple,1,131.824578047,55008,True,
bash,3,cc-lemon,1,198.768249989,51324,True, 
bash,3,bb-gams,1,729.927381039,26127756,False,MEMOUT
bash,3,bb-lemon,1,1654.00191307,57912,True, 
bash,3,bb-local,1,10860.080344,39860,False,TIMEOUT
bash,4,cc-local,1,1268.64925313,51660,True, 
bash,4,cc-none,1,131.903183937,53820,True,
bash,4,bb-none,1,136.647326946,57828,True, 
bash,4,cc-simple,1,131.120115042,51692,True,
bash,4,clang,1,75.5943830013,58784,True, 
bash,4,cc-gams,1,667.766321898,26127952,False,MEMOUT
bash,4,bb-simple,1,134.393174887,55056,True, 
bash,4,cc-lemon,1,203.763713837,51740,True,
bash,4,bb-gams,1,740.938808918,26127952,False,MEMOUT 
bash,4,bb-lemon,1,1773.73874187,58504,True,
bash,4,bb-local,1,10860.0605249,39780,False,TIMEOUT 
bash,5,cc-local,1,1216.68620992,53144,True,
bash,5,cc-none,1,143.772463083,54672,True, 
bash,5,bb-none,1,148.683181047,59948,True,
bash,5,cc-simple,1,142.862227917,53980,True, 
bash,5,clang,1,81.8176388741,59344,True,
bash,5,cc-gams,1,674.379814148,26127920,False,MEMOUT 
bash,5,bb-simple,1,146.299986124,56284,True,
bash,5,cc-lemon,1,232.419023991,53460,True, 
bash,5,bb-gams,1,741.866858959,26127988,False,MEMOUT
bash,5,bb-lemon,1,1843.33549213,59832,True, 
bash,5,bb-local,1,10860.081852,39844,False,TIMEOUT
bash,6,cc-local,1,1142.81238818,54468,True, 
bash,6,cc-none,1,148.982439995,55140,True,
bash,6,bb-none,1,154.501802921,60940,True, 
bash,6,cc-simple,1,148.179560184,54596,True,
bash,6,clang,1,84.5456180573,59776,True, 
bash,6,cc-gams,1,731.600605011,26127988,False,MEMOUT
bash,6,bb-simple,1,151.962414026,57564,True, 
bash,6,cc-lemon,1,219.122435808,54336,True,
bash,6,bb-gams,1,813.876955986,26128192,False,MEMOUT 
bash,6,bb-lemon,1,2074.01811099,60860,True,
bash,6,bb-local,1,10860.0691862,39868,False,TIMEOUT
gcc,1,cc-local,1,10860.0800831,11392,False,TIMEOUT
gcc,1,cc-none,1,120.280563116,99800,True,
gcc,1,bb-none,1,136.650784016,127884,True,
gcc,1,cc-simple,1,117.086051941,76820,True,
gcc,1,clang,1,69.8826699257,72496,True,
gcc,1,cc-gams,1,630.45469594,25165656,False,MEMOUT
gcc,1,bb-simple,1,128.343693018,91684,True,
gcc,1,cc-lemon,1,2225.32086492,74484,True,
gcc,1,bb-gams,1,1964.43045878,26125488,False,MEMOUT
gcc,1,bb-lemon,1,10860.0826361,11392,False,TIMEOUT
gcc,1,bb-local,1,10860.0600519,11448,False,TIMEOUT
gcc,1,cc-local,2,10860.0639219,11388,False,TIMEOUT
gcc,1,cc-none,2,119.260183096,100016,True,
gcc,1,bb-none,2,136.841216803,127768,True,
gcc,1,cc-simple,2,117.324261189,76884,True,
gcc,1,clang,2,69.4868199825,72416,True,
gcc,1,cc-gams,2,635.344682217,25165720,False,MEMOUT
gcc,1,bb-simple,2,128.615768909,91912,True,
gcc,1,cc-lemon,2,2218.03625584,74680,True,
gcc,1,bb-gams,2,2015.4858191,26125504,False,MEMOUT
gcc,1,bb-lemon,2,10860.071316,11448,False,TIMEOUT
gcc,1,bb-local,2,10860.0602331,11384,False,TIMEOUT
gcc,1,cc-local,3,10860.077605,11444,False,TIMEOUT
gcc,1,cc-none,3,119.095484972,99760,True,
gcc,1,bb-none,3,136.938308954,127836,True,
gcc,1,cc-simple,3,117.287053108,76784,True,
gcc,1,clang,3,69.5482358932,72420,True,
gcc,1,cc-gams,3,625.593430996,25165820,False,MEMOUT
gcc,1,bb-simple,3,128.583224058,91696,True,
gcc,1,cc-lemon,3,2232.29670596,74684,True,
gcc,1,bb-gams,3,1960.00978518,26125384,False,MEMOUT
gcc,1,bb-lemon,3,10860.076257,11452,False,TIMEOUT
gcc,1,bb-local,3,10860.076751,11324,False,TIMEOUT
exif,1,cc-local,1,363.875623941,44292,True,
exif,1,cc-none,1,56.6441230774,55556,True,
exif,1,bb-none,1,56.8253798485,44032,True,
exif,1,cc-simple,1,55.8044919968,44184,True,
exif,1,clang,1,34.6578178406,49908,True,
exif,1,cc-gams,1,578.264390945,26128048,False,MEMOUT
exif,1,bb-simple,1,56.3028609753,44208,True,
exif,1,cc-lemon,1,94.0371599197,44304,True,
exif,1,bb-gams,1,988.742865086,26127836,False,MEMOUT
